station,description,fournisseur_nom,fournisseur_url,plan_deau,dern_valeur_deb,dern_valeur_niv,previsions,dern_date_prise_valeur_utc,refoulement,etat,url_vigilance
"515",Carignan,Hydro Météo,https://www.hydrometeo.net/,Rivière L'Acadie,,9.23900032043457,non,2025/10/28 18:20:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1297
"050148","à 6,5 km en amont de la confluence avec la rivière Saint-Maurice","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050148,Rivière Shawinigan,1.202,42.958,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1300
"023108",8 km en amont de la confluence avec la rivière du Sud au pont-route Bellavance,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023108,Bras Saint-Nicolas,0.9113,47.684,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1281
"052601",Au pont du C.N. près de Sainte-Ursule,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052601,Rivière Maskinongé,2.792,26.99,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/292
"679",Au pont de la route 148 à Mansfield et Pontefract,Hydro Météo,https://www.hydrometeo.net/,Rivière Coulonge                                                                                                                                                                                                                                              ,,106.741996765137,non,2025/10/28 18:10:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/1004
"561",Rue des Frangins (aval),Hydro Météo,https://www.hydrometeo.net/,Rivière du Nord,,151.003005981445,non,2025/10/28 18:20:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1298
"030926",à 1km en aval du village Athelstan,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030926,Rivière Châteauguay,2.22,47.049,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1273
"040135",À 8 km de l'embouchure à Saint-André d'Argenteuil,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040135,Rivière du Nord,11.32,46.949,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/891
"023306",en aval du pont-route 277 à la municipalité de Lac-Etchemin,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023306,Rivière Etchemin,0.4725,46.567,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1267
"052240",à 1 km de la confluence avec la rivière de l'Achigan,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052240,Rivière Beauport,0.2359,44.513,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1282
"635",Au Pont Gariepy,Hydro Météo,https://www.hydrometeo.net/,Bras du Nord-Ouest,,0.00100000004749745,non,2025/10/28 18:10:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1280
02JE026,Sur le lac Témiscamingue à la marina de Ville-Marie,Environnement Canada,https://eau.ec.gc.ca/report/real_time_f.html?stn=02JE026,Lac Témiscamingue,,4.742,non,2025/10/28 17:25:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1285
"502",Parc National (amont),Hydro Météo,https://www.hydrometeo.net/,Rivière de la Petite Nation,,40.5999984741211,non,2025/10/28 18:20:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/1277
"050918",Près de la rue Dion à Duberger,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050918,Rivière du Berger,,,oui,,non,Désactivée,https://vigilance.geo.msp.gouv.qc.ca/stations/1246
"030242",en aval du pont-route 210 à Sawyerville,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030242,Rivière Eaton,0.2371,253.736,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1268
"023451",à 3.5 km en aval de La Guadeloupe,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023451,Bras Saint-Victor,0.1145,47.068,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1283
"548",Pont Rue du Bras (amont),Hydro Météo,https://www.hydrometeo.net/,Le Gros Bras,,,non,,non,Désactivée,https://vigilance.geo.msp.gouv.qc.ca/stations/534
"040240",1 km en amont de Boileau,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040240,Rivière Maskinongé,0.7035,47.071,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1274
"030315","à 2,3 km en amont du pont-route 116","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030315,Rivière Noire,1.119,46.488,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1269
"030355",au pont du chemin Benoit à Valcourt,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030355,Rivière Noire,0.3175,46.166,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/1270
02JE013,"À Mattawa, Ontario",Environnement Canada,https://eau.ec.gc.ca/report/real_time_f.html?stn=02JE013,Rivière des Outaouais,,52.276,non,2025/10/28 17:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/545
02JE032,En Ontario en face de Témiscaming,Environnement Canada,https://eau.ec.gc.ca/report/real_time_f.html?stn=02JE032,Rivière des Outaouais,,177.421,non,2025/10/28 17:40:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/546
"104803",À la sortie du lac de la Hutte Sauvage,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=104803,Rivière George,361.4,26.886,non,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/230
"062803","À 1,7 km de la rivière Sainte-Marguerite","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=062803,Rivière Sainte-Marguerite Nord-Est,5.012,25.849,oui,2025/10/28 15:30:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/498
02OA107,À 300 m au nord de l'autoroute-20,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=02OA107,Lac des Deux Montagnes,47.8,21.305,non,2025/10/28 17:50:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/3
"050144","À 0,3 km en aval de la rivière des Prairies","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050144,Rivière Vermillon,12.75,47.484,oui,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/336
"03280",À Neuville,Service hydrographique du Canada,https://www.marees.gc.ca/fr/stations/03280,Fleuve Saint-Laurent,,2.852,oui,2025/10/28 17:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/866
"15520",À la jetée 1 du port de Montréal,Service hydrographique du Canada,https://www.marees.gc.ca/fr/stations/15520,Fleuve Saint-Laurent,,-0.348,oui,2025/10/28 18:25:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/803
"03248",Au port de Québec,Service hydrographique du Canada,https://www.marees.gc.ca/fr/stations/03248,Fleuve Saint-Laurent,,2.574,oui,2025/10/28 17:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/826
"03345",À Batiscan,Service hydrographique du Canada,https://www.marees.gc.ca/fr/stations/03345,Fleuve Saint-Laurent,,0.495,oui,2025/10/28 18:25:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/844
"054001","À 100 mètres en aval de la chute du Parc des Cascades, secteur Beauport à Québec","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=054001,Rivière Beauport,,,non,,non,Désactivée,https://vigilance.geo.msp.gouv.qc.ca/stations/519
"030247",Au lac Brompton à Saint-Denis-de-Brompton,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030247,Lac Brompton,,238.032,non,2025/10/28 15:00:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/247
"040134",En amont du pont de la rue du Mont Castel,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040134,Ruisseau Bonniebrook,0.2322,46.201,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/873
"15540",En bordure de la rue Frontenac à Montréal,Service hydrographique du Canada,https://www.marees.gc.ca/fr/stations/15540,Fleuve Saint-Laurent,,-0.345,oui,2025/10/28 17:44:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/825
"040103",Au lac Ludger à Sainte-Agathe-des-Monts,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040103,Lac Ludger,,375.314,non,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/404
"050812","À 1,6 km en aval de la rivière Noire","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050812,Rivière aux Pommes,0.8924,48.045,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/423
"030316",Au pont-route à Saint-David,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030316,Rivière David,0.2303,26.933,non,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/502
"050813",À 500 m à l'aval du lac Clair,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050813,Décharge du lac Clair,0.0255,47.921,non,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/214
Saint-Joseph-de-Beauce,Au pont-route 276 à Saint-Joseph,Cobaric,https://rivierechaudiere.ca/stations/,Rivière Chaudière,,142.97,non,2025/10/28 18:20:08,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/576
Sainte-Marie,Au pont-route 216 à Sainte-Marie,Cobaric,https://rivierechaudiere.ca/stations/,Rivière Chaudière,,140.2,non,2025/10/28 18:20:02,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/573
"050904","À 0,8 km en amont de la Lorette","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050904,Rivière Saint-Charles,3.514,27.128,oui,2025/10/28 15:30:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/347
"023427",En aval du barrage Mégantic,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023427,Rivière Chaudière,2.686,392.312,non,2025/10/28 15:00:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/331
"023429","À 0,1 km en aval du barrage Sartigan","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023429,Rivière Chaudière,5.493,166.97,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/182
"051003","À 0,2 km de la rivière Montmorency","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=051003,Ruisseau des Eaux Volées,0.1199,28.486,non,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/287
"051005","À 0,3 km en amont de la rivière Blanche, forêt Montmorency","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=051005,Rivière Montmorency,3.21,552.36,oui,2025/10/28 15:30:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/119
"051502",À 0.3 km en aval du pont-route à Clermont,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=051502,Rivière Malbaie,8.394,26.408,oui,2025/10/28 15:30:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/149
"052212",À la tête des chutes Dorwin,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052212,Rivière Ouareau,7.895,28.039,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/391
"052219",Au pont-route 158 à Joliette,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052219,Rivière L'Assomption,4.929,39.674,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/62
"052228","À 2,6 km en amont du pont-route à Sainte-Émélie-de-l'Énergie","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052228,Rivière Noire,0.3587,26.975,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/205
"052233",Au pont-route 341à L'Épiphanie,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052233,Rivière L'Achigan,2.159,28.988,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/55
"052238",À Saint-Esprit,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052238,Rivière Saint-Esprit,2.158,46.881,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/893
"052401",À Saint-Félix-de-Valois,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052401,Rivière Bayonne,0.6237,28.469,non,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/459
"03424",À Baie Ste-Catherine,Service hydrographique du Canada,https://www.marees.gc.ca/fr/stations/03424,Rivière Saguenay,,1.397,oui,2025/10/28 17:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/847
"052603",À Saint-Gabriel-de-Brandon,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052603,Lac Maskinongé,,142.247,non,2025/10/28 15:00:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/112
"052604",Sur la rivière Maskinongé à Saint-Didace,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052604,Rivière Maskinongé,,142.221,non,2025/10/28 15:15:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/414
"052606","À 0,1 km en aval du lac Sainte-Rose","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=052606,Rivière Mastigouche,0.6248,29.502,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/105
"071401","À 1,6 km en amont du pont-route 138","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=071401,Rivière Godbout,11.19,29.51,non,2025/10/28 15:00:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/172
"023432","À 2,3 km de la rivière Beaurivage","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023432,Rivière Bras d'Henri,0.2393,116.183,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/272
"023446",À 0.2 km en amont du barrage Sartigan,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023446,Rivière Chaudière,,173.567,non,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/476
"060704",À la fosse 80 dans la zec de la rivière à Mars,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=060704,Rivière à Mars,2.596,44.959,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/228
"061028","À 3,6 km de l'embouchure de la rivière Pikauba","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061028,Rivière Pikauba,19.39,171.99,oui,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/125
"061001",Au Lac-Kénogami au barrage de Portage-des-Roches,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061001,Lac-Kénogami,,161.59,non,2025/10/28 15:15:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/236
"061601",Au lac des Commissaires à Lac-Bouchette,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061601,Lac des Commissaires,,328.972,non,2025/10/28 15:00:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/34
"061602","À 0,3 km en aval du barrage des Commissaires","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061602,Rivière Ouiatchouan,2.601,324.652,non,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/467
"061801","À 0,2 km en amont du pont-route 169","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061801,Petite rivière Péribonka,10.75,27.87,oui,2025/10/28 15:30:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/186
"061901",À la tête de la chute aux Saumons,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061901,Rivière Ashuapmushuan,181.6,24.436,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/382
"030921","À environ 70 m en amont de la confluence avec la rivière Noire, à Saint-Chrysostome","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030921,Rivière des Anglais,0.1848,45.379,oui,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/361
"062701","À 3,5 km de l'embouchure","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=062701,Rivière Valin,11.03,28.993,non,2025/10/28 15:30:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/213
"062914",À Roberval (près du centre aquatique),"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=062914,Lac Saint-Jean,,100.393,non,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/64
"040409","À 0,2 km en amont du pont-route à Cheneville","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040409,Rivière Suffolk,0.13,30.299,non,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/115
"043208",Sur la rivière des Mille Îles à Terrebonne,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=043208,Rivière des Mille Îles,,13.731,non,2025/10/28 15:15:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/242
"095003",Dans le bassin versant de la rivière Nastapoca,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=095003,Lac des Loups Marins,191.1,28.933,non,2025/10/28 15:00:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/398
"102706","À 2,8 km en amont du ruisseau Dufreboy","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=102706,Rivière aux Feuilles,,,non,,non,Désactivée,https://vigilance.geo.msp.gouv.qc.ca/stations/410
"040238",À 100 mètres en amont du pont de la route 117,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040238,Rivière du Diable,5.702,194.725,oui,2025/10/28 15:45:00,non,État normal,https://vigilance.geo.msp.gouv.qc.ca/stations/518
"040239",Au lac Chapleau à La Minerve,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040239,Lac Chapleau,,266.394,non,2025/10/28 15:15:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/524
"060601",À 7.1 km de l'embouchure,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",http://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=060601,Rivière Ha! Ha!,1.696,139.369,oui,2025/10/28 15:45:00,non,État inconnu,https://vigilance.geo.msp.gouv.qc.ca/stations/898
